Booking_ID,Hotel_Area,Hotel_Tier,Room_Type,Check_In,Check_Out,Nights,Rooms,ADR_INR,Booking_Status,Booking_Channel,Customer_Type,Estimated_Occupancy,Booking_Revenue_INR
DELJUL26-00001,Aerocity,Midscale,Standard,2026-07-27,2026-08-01,5,2,7713,Cancelled,Agoda,Couple,0.525,0
DELJUL26-00002,Greater Kailash,Midscale,Standard,2026-07-15,2026-07-19,4,2,6482,Confirmed,Direct,Business,0.423,51853
DELJUL26-00003,South Delhi,Budget,Suite,2026-07-22,2026-07-24,2,2,4684,Confirmed,Booking.com,Group,0.414,18734
DELJUL26-00004,Saket,Economy,Standard,2026-07-30,2026-08-04,5,1,6398,Completed,Direct,Couple,0.356,31991
DELJUL26-00005,Saket,Midscale,Standard,2026-07-02,2026-07-07,5,2,4999,Confirmed,MakeMyTrip,Couple,0.937,49987
DELJUL26-00006,Lajpat Nagar,Midscale,Standard,2026-07-04,2026-07-05,1,2,2298,Completed,Booking.com,Business,0.743,4596
DELJUL26-00007,Aerocity,Luxury,Standard,2026-07-29,2026-07-30,1,1,26834,Cancelled,Agoda,Couple,0.543,0
DELJUL26-00008,South Delhi,Upscale,Deluxe,2026-07-18,2026-07-20,2,3,12382,Completed,Agoda,Couple,0.697,74295
DELJUL26-00009,Karol Bagh,Midscale,Standard,2026-07-20,2026-07-24,4,1,4083,Completed,Walk-in,Family,0.721,16333
DELJUL26-00010,Aerocity,Midscale,Premium,2026-07-11,2026-07-14,3,2,11448,Completed,MakeMyTrip,Family,0.46,68688
DELJUL26-00011,Dwarka,Midscale,Deluxe,2026-07-26,2026-07-29,3,3,3054,Confirmed,Goibibo,Couple,0.523,27490
DELJUL26-00012,Rohini,Midscale,Standard,2026-07-21,2026-07-24,3,3,2483,Completed,Walk-in,Group,0.678,22348
DELJUL26-00013,Greater Kailash,Budget,Premium,2026-07-08,2026-07-11,3,2,2345,Confirmed,Agoda,Group,0.854,14069
DELJUL26-00014,Greater Kailash,Midscale,Standard,2026-07-21,2026-07-25,4,3,4756,Completed,Walk-in,Business,0.428,57070
DELJUL26-00015,Greater Kailash,Midscale,Deluxe,2026-07-01,2026-07-02,1,2,5178,Cancelled,Walk-in,Group,0.865,0
DELJUL26-00016,Greater Kailash,Midscale,Deluxe,2026-07-08,2026-07-11,3,3,8791,Confirmed,Direct,Business,0.715,79116
DELJUL26-00017,Dwarka,Upscale,Standard,2026-07-07,2026-07-09,2,3,3574,Completed,Booking.com,Business,0.644,21446
DELJUL26-00018,Connaught Place,Midscale,Standard,2026-07-25,2026-07-29,4,2,5664,Confirmed,Agoda,Leisure,0.436,45314
DELJUL26-00019,Lajpat Nagar,Economy,Deluxe,2026-07-23,2026-07-24,1,2,2740,Confirmed,Direct,Couple,0.68,5479
DELJUL26-00020,Saket,Budget,Deluxe,2026-07-03,2026-07-04,1,1,2292,Confirmed,Direct,Family,0.562,2292
DELJUL26-00021,Dwarka,Budget,Deluxe,2026-07-29,2026-08-01,3,3,1435,Confirmed,Direct,Group,0.463,12917
DELJUL26-00022,Paharganj,Economy,Standard,2026-07-26,2026-07-29,3,3,2162,Completed,Direct,Group,0.878,19461
DELJUL26-00023,Connaught Place,Economy,Standard,2026-07-14,2026-07-17,3,3,5850,Completed,Goibibo,Family,0.626,52647
DELJUL26-00024,Rohini,Budget,Suite,2026-07-07,2026-07-12,5,2,1611,Confirmed,Booking.com,Business,0.398,16112
DELJUL26-00025,Greater Kailash,Budget,Standard,2026-07-14,2026-07-18,4,1,4943,Completed,Walk-in,Leisure,0.531,19773
DELJUL26-00026,South Delhi,Budget,Suite,2026-07-19,2026-07-21,2,3,2380,Completed,Direct,Group,0.459,14279
DELJUL26-00027,Saket,Upscale,Deluxe,2026-07-20,2026-07-24,4,1,11589,Completed,MakeMyTrip,Business,0.914,46356
DELJUL26-00028,Lajpat Nagar,Upscale,Deluxe,2026-07-11,2026-07-14,3,2,5999,Completed,Goibibo,Leisure,0.496,35997
DELJUL26-00029,Dwarka,Economy,Standard,2026-07-04,2026-07-06,2,1,3680,Confirmed,MakeMyTrip,Business,0.654,7360
DELJUL26-00030,Saket,Budget,Premium,2026-07-19,2026-07-20,1,2,3291,Confirmed,Agoda,Group,0.797,6582
DELJUL26-00031,Saket,Budget,Premium,2026-07-22,2026-07-23,1,1,3282,Completed,Walk-in,Leisure,0.445,3282
DELJUL26-00032,Karol Bagh,Budget,Deluxe,2026-07-09,2026-07-11,2,1,2233,Completed,Goibibo,Couple,0.612,4466
DELJUL26-00033,Aerocity,Economy,Deluxe,2026-07-20,2026-07-25,5,2,8045,Completed,Goibibo,Family,0.742,80449
DELJUL26-00034,Dwarka,Budget,Standard,2026-07-18,2026-07-21,3,2,1227,Confirmed,Goibibo,Group,0.879,7359
DELJUL26-00035,Lajpat Nagar,Economy,Standard,2026-07-16,2026-07-19,3,3,3800,Completed,Walk-in,Family,0.742,34197
DELJUL26-00036,Aerocity,Luxury,Suite,2026-07-01,2026-07-03,2,2,23888,Confirmed,Agoda,Family,0.398,95551
